,0
🛴,19951
🚲,1405
’,3551
✈,71
️,1945
…,6972
°,24
🚙,391
🚛,281
🚉,282
🚕,405
🚗,576
🚘,365
🚶,404
🐎,297
🛹,318
🚜,140
🚴,116
‍,722
♂,285
♀,286
🏃,49
♿,42
🧳,6
🇺,234
🇸,270
 ,158
🌸,5
😔,15
😂,453
🚌,101
😁,29
💨,799
🎅,5
🎄,8
🚖,22
🔥,577
👏,47
🇵,16
🇱,11
🇩,61
🇪,171
🇦,60
🇹,12
ü,34
😊,48
🌉,14
“,401
”,337
✨,59
👀,99
🤑,11
👛,4
🐴,6
쿱,1
한,1
🙏,93
🕵,11
👻,10
🇮,13
📈,16
🔗,6
👑,9
📽,3
➡,86
 ,32
🤳,20
🚍,24
🚃,25
👇,69
🛸,8
⚡,429
📰,18
🌨,2
🤔,167
😳,87
🥝,2
é,99
👉,68
💚,170
✅,87
🐔,8
🤩,28
🔋,38
🌠,1
🏞,3
🦅,36
👺,1
🔭,3
💰,35
🚨,954
🐃,1
—,398
🌟,5
🔔,2
🐕,4
💜,9
á,17
⁦,134
⁩,128
🤷,117
😬,15
🏗,2
🆕,2
🇨,25
🇬,42
🇧,67
🇲,22
🇾,3
👊,7
👍,99
🙌,134
👠,9
😅,9
➤,1
❤,215
😀,35
🛵,131
🤣,158
💯,111
🌅,7
📸,84
😭,113
☕,13
🚀,54
😢,10
🚓,6
🛥,4
🛩,3
🌊,14
☹,3
•,1043
🚦,9
😫,5
💪,36
🏻,334
→,8
🇳,17
🇿,14
⁠,23
👌,65
🏼,155
🙂,12
🦉,61
🦍,1
🦓,1
・,22
⚾,10
🍸,46
💻,48
�,2
🍋,252
 ,1
😆,21
🇷,72
🏍,33
📲,32
🎶,54
🐰,4
💵,23
🛒,8
🎡,11
🐛,1
👯,11
🚫,30
🥃,3
⚠,19
🤙,43
▪,15
🔸,28
📷,49
🌳,20
🤗,42
🎬,16
🏆,10
🌎,75
😮,6
😄,19
🔌,17
😷,2
🏟,8
😣,2
⃗,1
💭,4
💍,4
📢,38
🎥,33
🇫,37
🔧,9
😉,80
à,6
갓,17
세,17
븐,17
🍀,5
🇯,6
🇰,9
💙,27
🌐,6
⚽,3
🍽,3
⛑,49
💞,4
💡,30
❌,9
🆓,4
🎯,13
🍕,9
✌,47
🍻,11
진,2
영,2
박,1
🎀,4
😸,5
😍,63
🙄,23
🎉,86
🐧,5
🐐,6
😥,49
💧,1
™,11
🐦,153
🏽,192
💛,39
🌵,6
👋,124
🛶,6
ń,3
🥢,1
🥳,11
🚇,22
🧀,5
🍪,2
🥤,4
🤠,144
🧱,1
💆,6
🏡,9
🏈,14
„,6
🖤,7
🚆,5
⭐,10
🗺,8
😎,110
✔,47
◻,1
‘,107
😛,3
🧐,9
🌍,16
🍁,5
❄,33
📚,7
🐷,1
🤦,80
🥇,4
🌬,5
😰,5
🐺,7
👹,5
💲,1
©,8
🔵,31
🏁,14
🔟,1
🌿,1
🚵,36
😩,27
🍈,37
🚐,11
🤪,75
🤭,5
😘,11
€,14
🛑,6
☠,5
🙋,19
🤕,13
🛌,1
🏜,7
❗,29
¢,7
🍳,4
😌,6
🌆,7
🤟,20
💬,6
🚧,13
🤯,55
🥯,3
☑,9
🐤,12
🌴,32
☀,67
⃣,124
🏿,11
👨,75
🚂,11
🏙,39
💢,7
🎧,13
⏩,2
🔫,22
👽,1
🧙,1
🎤,5
😈,72
👥,2
🕊,10
📎,1
🤫,2
🤘,16
‼,42
😯,2
🇭,8
💕,81
🌮,22
🦃,12
🦖,6
📨,5
🗣,16
🎒,3
💥,148
🌞,21
🤓,76
👰,3
🎩,2
🥺,9
🔊,3
🥵,8
🧔,1
🥛,2
🍔,9
🌯,3
🍱,3
🍦,7
🏝,7
😜,19
🚚,6
🥰,13
🐅,1
⛷,3
🐵,1
🛍,6
👆,2
í,17
–,67
🏄,4
📦,2
🦶,12
😺,1
⠀,699
　,181
👢,17
🧺,2
⛳,1
🤬,20
🥂,4
👟,9
🌚,4
ğ,1
ı,3
👈,14
➖,15
📍,35
〰,1
📻,3
🙅,9
🐌,4
🙁,3
😐,7
😞,3
📱,58
😱,15
😝,5
💼,107
📜,2
🛄,1
📊,6
🤚,6
🖼,5
💀,17
🚎,59
🏾,112
💗,6
🍜,3
🌇,11
🤶,1
♻,7
🧘,2
🦷,3
💊,3
⌲,131
🚈,48
🌶,2
🌽,2
🍅,1
⛹,2
🎋,1
£,14
👩,73
👧,10
🏦,15
😪,4
🦕,2
🍚,1
🍹,7
🚋,5
⁉,5
😏,44
🤸,7
👫,11
💏,9
😲,4
✋,1
🏎,18
è,4
🏖,14
🍑,2
🌈,13
🇴,2
🏳,7
🥗,3
🚊,26
🙊,52
🆒,57
⛸,3
🎁,19
🤞,4
🙈,16
🎊,31
🌪,4
🦳,2
🖕,11
🍂,2
😠,2
🏀,11
🎵,14
💦,10
🤡,14
⛓,1
⛽,2
🦁,6
🍧,1
🐣,3
🗳,9
💹,1
🛣,17
🏐,2
⛱,1
👷,8
🍬,2
🍺,7
💸,11
❓,2
🏛,23
🗽,8
😃,15
😇,2
🕝,1
🕓,1
🕢,1
🕐,1
😤,19
🆘,3
🌃,7
🍌,31
🍿,5
🥏,1
👣,9
⛔,3
🤮,7
🧠,5
🐈,3
🛠,3
🌝,1
🔝,3
🏊,5
👎,10
♥,8
📃,1
🆙,10
🍃,4
🤤,2
É,1
🎙,16
➕,9
⁣,53
▶,1
🦄,7
🙃,10
🐾,4
🕺,15
🏠,3
🎓,10
❣,3
🎈,8
⚖,6
👸,3
🚤,19
☞,1
☄,1
ℐ,1
ἁ,1
￠,1
Ƙ,1
🧡,16
🥑,1
🍉,1
🥥,1
🍵,2
🎻,2
📣,3
➰,1
🦜,32
ö,9
📹,13
🌀,12
🐶,5
🦆,3
🚞,3
🤖,4
🥧,3
🧜,3
📅,3
⏰,3
💩,2
🔽,2
🛡,2
⬅,13
🐂,1
🥘,1
🎃,6
🍰,2
🎟,6
🍣,1
👔,2
🌄,3
🌱,9
🚳,2
‐,1
🏹,12
📉,2
🚁,13
ℹ,3
🌲,6
😋,4
🛰,3
🦹,1
·,3
🥴,7
🏢,4
😹,15
💖,2
😚,1
🎭,1
🤨,3
🗑,9
🐻,2
🎇,1
😨,3
🖇,1
®,3
🔜,5
🏥,7
🅿,3
⚰,6
🤢,3
🙀,2
🔆,7
🇽,7
🧢,3
⚔,5
🔴,6
🧟,2
👜,3
📵,2
🚑,5
🌏,9
✍,3
