,Emoji,Unicode,Hex
0,👋🏻,b'\\U0001f44b\\U0001f3fb',b'\xf0\x9f\x91\x8b\xf0\x9f\x8f\xbb'
1,👋🏼,b'\\U0001f44b\\U0001f3fc',b'\xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc'
2,👋🏽,b'\\U0001f44b\\U0001f3fd',b'\xf0\x9f\x91\x8b\xf0\x9f\x8f\xbd'
3,👋🏾,b'\\U0001f44b\\U0001f3fe',b'\xf0\x9f\x91\x8b\xf0\x9f\x8f\xbe'
4,👋🏿,b'\\U0001f44b\\U0001f3ff',b'\xf0\x9f\x91\x8b\xf0\x9f\x8f\xbf'
5,🤚🏻,b'\\U0001f91a\\U0001f3fb',b'\xf0\x9f\xa4\x9a\xf0\x9f\x8f\xbb'
6,🤚🏼,b'\\U0001f91a\\U0001f3fc',b'\xf0\x9f\xa4\x9a\xf0\x9f\x8f\xbc'
7,🤚🏽,b'\\U0001f91a\\U0001f3fd',b'\xf0\x9f\xa4\x9a\xf0\x9f\x8f\xbd'
8,🤚🏾,b'\\U0001f91a\\U0001f3fe',b'\xf0\x9f\xa4\x9a\xf0\x9f\x8f\xbe'
9,🤚🏿,b'\\U0001f91a\\U0001f3ff',b'\xf0\x9f\xa4\x9a\xf0\x9f\x8f\xbf'
10,🖐🏻,b'\\U0001f590\\U0001f3fb',b'\xf0\x9f\x96\x90\xf0\x9f\x8f\xbb'
11,🖐🏼,b'\\U0001f590\\U0001f3fc',b'\xf0\x9f\x96\x90\xf0\x9f\x8f\xbc'
12,🖐🏽,b'\\U0001f590\\U0001f3fd',b'\xf0\x9f\x96\x90\xf0\x9f\x8f\xbd'
13,🖐🏾,b'\\U0001f590\\U0001f3fe',b'\xf0\x9f\x96\x90\xf0\x9f\x8f\xbe'
14,🖐🏿,b'\\U0001f590\\U0001f3ff',b'\xf0\x9f\x96\x90\xf0\x9f\x8f\xbf'
15,✋🏻,b'\\u270b\\U0001f3fb',b'\xe2\x9c\x8b\xf0\x9f\x8f\xbb'
16,✋🏼,b'\\u270b\\U0001f3fc',b'\xe2\x9c\x8b\xf0\x9f\x8f\xbc'
17,✋🏽,b'\\u270b\\U0001f3fd',b'\xe2\x9c\x8b\xf0\x9f\x8f\xbd'
18,✋🏾,b'\\u270b\\U0001f3fe',b'\xe2\x9c\x8b\xf0\x9f\x8f\xbe'
19,✋🏿,b'\\u270b\\U0001f3ff',b'\xe2\x9c\x8b\xf0\x9f\x8f\xbf'
20,🖖🏻,b'\\U0001f596\\U0001f3fb',b'\xf0\x9f\x96\x96\xf0\x9f\x8f\xbb'
21,🖖🏼,b'\\U0001f596\\U0001f3fc',b'\xf0\x9f\x96\x96\xf0\x9f\x8f\xbc'
22,🖖🏽,b'\\U0001f596\\U0001f3fd',b'\xf0\x9f\x96\x96\xf0\x9f\x8f\xbd'
23,🖖🏾,b'\\U0001f596\\U0001f3fe',b'\xf0\x9f\x96\x96\xf0\x9f\x8f\xbe'
24,🖖🏿,b'\\U0001f596\\U0001f3ff',b'\xf0\x9f\x96\x96\xf0\x9f\x8f\xbf'
25,🫱🏻,b'\\U0001faf1\\U0001f3fb',b'\xf0\x9f\xab\xb1\xf0\x9f\x8f\xbb'
26,🫱🏼,b'\\U0001faf1\\U0001f3fc',b'\xf0\x9f\xab\xb1\xf0\x9f\x8f\xbc'
27,🫱🏽,b'\\U0001faf1\\U0001f3fd',b'\xf0\x9f\xab\xb1\xf0\x9f\x8f\xbd'
28,🫱🏾,b'\\U0001faf1\\U0001f3fe',b'\xf0\x9f\xab\xb1\xf0\x9f\x8f\xbe'
